0,Directory,Time,Files,Files/s
1,/M6/data/Y,7,"8,899",1271
2,/M9/data/V,7,"8,939",1277
3,/M7/data/X,7,"9,074",1296
4,/M8/data/W,7,"9,574",1368
5,/M10/data/U,6,"8,942",1490
6,/M3/data/H,10,"18,417",1842
7,/M5/data/F,10,"19,135",1914
8,/M4/data/G,9,"17,341",1927
9,/M7/data/D,9,"17,411",1935
10,/M9/data/B,9,"17,651",1961
11,/M6/data/E,9,"17,777",1975
12,/M8/data/C,9,"18,093",2010
13,/M10/data/A,9,"18,350",2039
14,/M9/data/S,12,"28,197",2350
15,/M9/data/8,11,"26,327",2393
16,/M10/data/9,11,"26,327",2393
17,/M2/data/I,12,"29,269",2439
18,/M3/data/M,14,"35,535",2538
19,/M4/data/N,14,"36,217",2587
20,/M10/data/T,11,"28,923",2629
21,/M5/data/O,14,"36,838",2631
22,/M6/data/P,14,"37,038",2646
23,/M2/data/L,14,"37,040",2646
24,/M1/data/J,10,"26,689",2669
25,/M7/data/Q,13,"35,468",2728
26,/M7/data/6,10,"27,910",2791
27,/M8/data/7,10,"28,176",2818
28,/M8/data/R,13,"37,169",2859
29,/M1/data/K,45,"132,256",2939
30,/M3/data/2,57,"173,237",3039
31,/M4/data/3,31,"95,199",3071
32,/M5/data/4,41,"128,015",3122
33,/M6/data/5,29,"91,957",3171
34,/M2/data/1,42,"135,856",3235
35,/M5/data/Z,36,"117,226",3256
36,/M1/data/0,46,"175,130",3807
,Sum,572,"1,540,472",83256
,Average,16,"42,791",2313
,Maximum,57,"175,130",3807
,Minimum,6,"8,899",1271
